"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
491046,"July 17, 2013",California,Oakland,"3400 block of Wilson Avenue",3,1,0,0,2,N/A
491001,"July 14, 2013",Kansas,Wichita,"11th Street and Mead",4,1,0,0,2,N/A
491037,"July 14, 2013",Michigan,"Grand Rapids (Kentwood)","Farmview Ct SE",5,0,0,0,1,N/A
491162,"July 13, 2013",Ohio,Campbell,"Seventh Street",4,0,0,0,1,N/A
490979,"July 13, 2013","District of Columbia",Washington,"2700 block of Stanton Road",4,0,0,0,0,N/A
490963,"July 13, 2013",Oklahoma,"Oklahoma City","5405 N. Lincoln Blvd",3,1,0,0,0,N/A
490932,"July 13, 2013","New Jersey","Trenton (Hamilton Township)","1100 block of Deutz Ave",4,1,0,0,0,N/A
490943,"July 12, 2013",California,"San Francisco","3192 16th St",3,1,0,0,0,N/A
490954,"July 12, 2013",Kentucky,Greensburg,"194 C Mays Rd",2,2,0,0,0,N/A
490922,"July 11, 2013","North Carolina",Charlotte,"6300 block of Reagan Drive",2,2,0,0,0,N/A
490917,"July 9, 2013",Illinois,Rockford,"600 block of Woodlawn Avenue",2,2,0,0,0,N/A
490909,"July 9, 2013",Maryland,Baltimore,"600 block of N. Carrollton Ave",4,0,0,0,1,N/A
490793,"July 7, 2013",Florida,"Pompano Beach","1600 block of Northwest 7th Lane",3,1,0,0,0,N/A
490893,"July 7, 2013",California,Stockton,"2600 block of Connecticut Avenue",4,1,0,0,0,N/A
490772,"July 7, 2013",Illinois,Chicago,"11300 block of S Forest Ave",5,0,0,0,1,N/A
490767,"July 7, 2013",Mississippi,Meridian,"2500 block of 5th Street",4,0,0,0,0,N/A
490750,"July 6, 2013","New York",Brooklyn,"472 Marcy Avenue",3,1,0,0,1,N/A
490395,"July 5, 2013",Alabama,Florence,"W Mobile St",4,0,0,0,1,N/A
490351,"July 4, 2013",Michigan,Pontiac,"441 N Perry St",6,1,0,0,1,N/A
490335,"July 4, 2013",Illinois,Chicago,"6000 block of South Cottage Grove Avenue",4,0,0,0,0,N/A
490245,"July 1, 2013",Texas,"Fort Worth","2900 block of Pate Drive",0,4,0,0,1,N/A
490226,"June 30, 2013","New York",Brooklyn,"616 E 52nd St",8,0,0,0,1,N/A
490166,"June 30, 2013",Colorado,Aurora,"2300 block of Paris St",4,0,0,0,0,N/A
490150,"June 29, 2013","South Carolina","North Charleston","4400 Dorchester Road; Suite 115",1,3,0,0,2,N/A
490115,"June 28, 2013",Illinois,Chicago,"4800 block of North Sheridan Road",6,0,0,0,0,N/A
490048,"June 27, 2013",California,"Three Rivers","40001 Sierra Dr",2,2,0,0,1,N/A
489987,"June 25, 2013",Illinois,Chicago,"S King Dr and E 73rd St",2,1,1,0,0,N/A
489934,"June 24, 2013",Missouri,"Kansas City","1711 Kansas Avenue",3,1,0,0,0,N/A
489129,"June 23, 2013",Virginia,"Virginia Beach","4600 block of Columbus Street",4,1,0,0,0,N/A
489121,"June 23, 2013",Louisiana,"New Orleans","5700 block of Wickfield Drive",4,0,0,0,0,N/A
489105,"June 23, 2013",Missouri,"Kansas City","1917 Prospect Ave",8,1,0,0,0,N/A
489096,"June 23, 2013",California,Sacramento,"Sea Drift Way",3,1,0,0,2,N/A
489061,"June 23, 2013",Tennessee,Chattanooga,"1501 Dodds Ave",3,1,0,0,0,N/A
488970,"June 22, 2013","Rhode Island",Providence,"55 Curtis",4,0,0,0,0,N/A
488833,"June 22, 2013",Maryland,Baltimore,"700 block of N. Kenwood Avenue",4,1,0,0,0,N/A
488426,"June 21, 2013",Illinois,Chicago,"2900 block of North Kilpatrick Avenue",3,1,0,0,1,N/A
488547,"June 21, 2013","North Carolina",Greenville,"205 Greenville Blvd SW",4,0,1,0,1,N/A
488505,"June 21, 2013",Virginia,Norfolk,"1225 Tidewater Drive",6,0,0,0,3,N/A
